iter	RMSE
976	275049.7801
977	275041.3086
978	275033.0351
979	275028.7462
980	275023.6583
981	275018.7658
982	275011.5061
983	275006.6578
984	274998.0107
985	274990.5302
986	274981.8595
987	274968.8908
988	274965.872
989	274958.1073
990	274952.254
991	274947.8507
992	274934.0346
993	274926.102
994	274917.2231
995	274913.8107
996	274911.3654
997	274907.1359
998	274902.8603
999	274899.4851
